,,Table S1. List of DEGs across GSE165724.,,,,,,
,,,,,,,,
Gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_Symbol,Gene_Description
1,38.68801,1.176520958,0.203157661,5.791171985,6.99E-09,4.62E-08,A1BG,alpha-1-B glycoprotein [Source:HGNC Symbol;Acc:HGNC:5]
2,6117.591286,-0.480713037,0.140419123,-3.423415758,0.000618394,0.001847634,A2M,alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7]
3,9.646617807,-1.867946151,0.398224276,-4.690688794,2.72E-06,1.25E-05,,alpha-2-macroglobulin pseudogene 1 [Source:NCBI gene (formerly Entrezgene);Acc:3]
9,37.93051522,-0.436961464,0.141715707,-3.083366502,0.002046729,0.00544368,NAT1,N-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:7645]
10,0.93132039,-0.77790477,0.653249088,-1.19082412,0.233722638,0.328265395,NAT2,N-acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:7646]
12,72.31974974,-2.176682011,0.383647116,-5.673656656,1.40E-08,8.88E-08,SERPINA3,serpin family A member 3 [Source:HGNC Symbol;Acc:HGNC:16]
13,2.342241764,-3.627114396,0.636978332,-5.694250832,1.24E-08,7.92E-08,AADAC,arylacetamide deacetylase [Source:HGNC Symbol;Acc:HGNC:17]
14,816.7568,0.110378152,0.082802957,1.333021869,0.182524627,0.268501671,AAMP,angio associated migratory cell protein [Source:HGNC Symbol;Acc:HGNC:18]
15,15.00326971,-0.805906151,0.257806937,-3.126006458,0.001771977,0.004780608,AANAT,aralkylamine N-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:19]
16,1547.394543,-0.320014049,0.079037756,-4.048875685,5.15E-05,0.000190035,AARS1,alanyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:20]
18,1372.556784,0.110600044,0.142981976,0.773524379,0.439212107,0.54225996,ABAT,4-aminobutyrate aminotransferase [Source:HGNC Symbol;Acc:HGNC:23]
19,2058.808585,1.213333605,0.134648846,9.011095481,2.04E-19,3.79E-18,ABCA1,ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]
